mood_rating,stress_level,sleep_quality,concentration_difficulty,academic_work_pressure,social_withdrawal,energy_level,anxiety_frequency,daily_functioning_impact,composite_score,risk_category
3,2,2,2,2,2,3,1,1,21.6,Mild
1,1,1,1,3,1,2,1,1,14.2,Low
3,3,3,4,3,3,3,2,4,34.1,Moderate
1,1,1,2,1,1,1,1,2,13.5,Low
3,3,2,2,3,3,3,3,3,30.9,Moderate
3,4,2,4,4,3,4,3,3,36.3,Moderate
1,1,2,1,1,1,1,1,1,12.1,Low
1,3,2,3,1,2,2,3,2,23.1,Mild
1,2,3,2,1,2,2,1,2,19.1,Mild
1,1,1,2,1,1,2,1,1,13.0,Low
2,3,2,2,3,2,3,3,2,26.8,Mild
1,2,2,2,1,2,1,1,1,15.5,Low
3,4,3,3,3,2,2,4,3,33.6,Moderate
3,3,3,3,2,4,3,4,2,32.9,Moderate
1,2,1,1,3,1,2,1,1,15.5,Low
2,2,1,2,2,2,2,1,1,18.0,Low
1,2,2,2,3,3,2,2,2,22.7,Mild
4,3,4,3,2,3,3,3,3,34.5,Moderate
3,3,3,4,3,3,4,3,5,38.0,High
3,2,2,3,2,2,2,2,2,24.5,Mild
3,4,3,4,4,5,4,3,4,41.1,High
2,3,1,1,2,1,1,1,2,17.7,Low
2,1,1,1,3,2,4,2,2,21.7,Mild
3,3,3,3,2,3,2,3,3,30.9,Moderate
3,3,4,2,3,2,2,3,3,31.0,Moderate
2,2,3,1,2,2,3,2,3,24.6,Mild
1,2,1,2,1,2,2,2,1,16.8,Low
4,4,4,5,3,4,4,4,2,40.9,High
3,3,3,2,3,4,4,3,3,34.1,Moderate
1,1,1,1,1,2,1,1,1,12.1,Low
1,3,2,2,2,1,2,3,1,20.6,Mild
1,3,1,1,1,1,1,1,1,13.6,Low
2,1,2,2,3,2,2,1,2,20.4,Mild
1,2,2,3,3,1,2,2,3,23.0,Mild
2,2,1,2,1,2,3,2,2,20.8,Mild
4,4,4,4,4,3,4,5,3,42.8,High
3,3,4,3,2,4,3,4,4,37.0,Moderate
3,3,2,3,4,3,4,3,3,34.0,Moderate
4,4,4,3,4,5,3,4,5,44.6,High
4,4,5,5,3,4,4,4,5,46.5,High
4,4,4,4,4,4,5,3,5,45.1,High
2,3,2,1,2,3,2,1,2,22.0,Mild
2,3,2,3,3,3,2,2,2,26.5,Mild
3,2,4,2,3,3,3,4,4,34.7,Moderate
3,1,1,2,2,2,2,2,3,22.6,Mild
1,1,1,1,1,1,1,2,1,12.4,Low
1,1,1,1,1,1,1,1,1,11.0,Low
4,3,3,3,3,3,2,3,2,32.0,Moderate
2,1,1,3,3,2,2,2,3,23.2,Mild
1,2,1,1,2,3,1,1,2,17.1,Low
2,2,3,3,3,3,2,2,1,24.8,Mild
1,1,1,1,2,1,2,1,1,13.1,Low
2,2,2,2,1,1,2,1,2,18.4,Low
1,1,2,1,1,3,1,1,1,14.3,Low
2,2,1,3,2,3,2,1,1,20.1,Mild
3,2,3,3,3,2,2,2,2,26.7,Mild
2,1,1,2,1,2,2,2,2,18.5,Low
5,5,5,3,4,5,4,4,4,48.0,High
1,1,1,1,1,1,1,1,1,11.0,Low
3,3,2,3,3,1,1,1,2,23.4,Mild
4,3,3,3,4,4,2,4,2,35.6,Moderate
2,4,3,2,2,3,3,3,2,29.2,Moderate
2,1,1,2,2,1,1,1,1,14.6,Low
3,2,3,3,3,3,2,3,2,29.2,Moderate
4,4,4,5,4,4,4,3,3,42.1,High
2,1,3,2,2,3,1,1,1,19.0,Mild
3,3,5,3,4,5,3,2,4,38.6,High
4,5,5,5,4,3,4,4,3,44.8,High
4,4,4,5,4,4,4,4,4,45.0,High
1,1,1,1,1,2,1,1,1,12.1,Low
2,1,4,3,2,2,2,2,2,23.9,Mild
3,2,2,3,4,2,3,2,3,29.2,Moderate
2,1,1,1,2,2,1,2,1,16.1,Low
3,3,4,4,3,3,3,3,3,35.1,Moderate
2,2,2,1,2,1,2,2,2,19.9,Mild
3,3,3,3,2,2,4,3,3,31.8,Moderate
4,4,2,4,3,4,4,5,3,40.6,High
1,2,3,1,1,1,1,2,2,17.4,Low
3,4,5,3,3,3,2,2,3,34.1,Moderate
2,2,3,1,1,3,2,1,2,20.7,Mild
2,2,2,3,2,2,2,2,2,23.0,Mild
3,1,2,1,2,2,1,3,2,21.6,Mild
3,3,3,3,3,2,2,3,2,29.4,Moderate
3,2,2,2,2,3,2,2,3,26.1,Mild
3,2,1,1,3,1,3,1,2,21.0,Mild
3,3,3,4,3,3,4,2,4,35.1,Moderate
1,2,2,2,2,1,3,3,2,21.8,Mild
2,2,3,2,1,2,3,1,2,21.6,Mild
2,1,1,2,1,2,3,2,2,19.5,Mild
4,4,4,4,4,3,4,5,4,44.3,High
3,4,2,2,2,3,3,4,3,32.5,Moderate
2,3,3,3,3,2,3,3,4,31.9,Moderate
2,1,3,1,2,2,2,1,2,19.4,Mild
2,2,2,2,2,2,2,2,2,22.0,Mild
2,4,2,2,3,4,3,3,3,31.8,Moderate
1,1,1,1,1,1,1,2,1,12.4,Low
1,2,1,1,1,2,1,1,2,14.9,Low
2,2,2,2,3,2,2,1,3,23.2,Mild
1,1,1,1,2,1,1,2,1,13.5,Low
1,3,3,2,3,2,2,1,2,22.6,Mild
1,2,1,1,1,1,1,2,1,13.7,Low
2,3,3,4,3,2,3,1,3,28.6,Moderate
1,2,1,2,2,1,2,3,1,18.2,Low
3,2,4,2,3,3,4,3,3,32.8,Moderate
2,2,1,3,1,2,2,3,4,25.2,Mild
3,3,3,2,3,3,2,3,2,29.5,Moderate
2,2,3,2,3,2,2,1,2,22.8,Mild
3,4,3,3,4,2,3,4,4,37.2,Moderate
3,3,3,2,4,3,2,4,3,33.5,Moderate
3,4,4,4,3,3,2,2,4,35.5,Moderate
1,2,3,2,1,1,3,2,2,20.4,Mild
5,5,3,4,5,4,4,4,4,46.8,High
3,4,3,4,3,5,5,3,3,39.5,High
1,2,1,2,3,1,2,2,2,19.4,Mild
1,2,2,1,2,2,1,2,2,18.5,Low
2,1,2,2,3,3,1,3,2,23.3,Mild
1,1,1,2,1,1,1,1,1,12.0,Low
1,1,1,1,2,1,1,1,2,13.6,Low
2,1,1,1,1,1,1,1,1,12.5,Low
2,1,2,2,1,1,1,1,2,16.1,Low
3,2,3,3,3,4,5,2,2,31.9,Moderate
5,4,5,4,5,3,3,2,4,42.8,High
1,1,2,1,1,1,1,1,1,12.1,Low
4,4,5,3,3,4,4,3,4,41.6,High
3,3,3,2,2,5,4,2,2,31.2,Moderate
3,4,2,2,4,3,4,1,2,30.0,Moderate
3,4,3,3,3,4,2,3,2,32.9,Moderate
1,2,1,2,1,1,1,1,1,13.3,Low
1,1,2,3,4,1,1,3,2,21.7,Mild
3,2,4,3,3,5,3,2,3,33.6,Moderate
1,1,1,2,1,1,1,1,1,12.0,Low
3,2,5,4,2,4,4,3,3,35.9,Moderate
2,3,2,1,2,1,2,3,2,22.6,Mild
4,5,4,4,4,4,4,4,4,45.3,High
5,3,4,4,3,4,4,4,3,41.6,High
4,4,3,4,3,4,4,3,3,38.9,High
2,2,1,3,3,2,2,2,2,23.0,Mild
4,5,5,4,5,5,4,3,3,45.7,High
2,1,1,1,1,1,2,1,2,15.0,Low
4,3,4,2,3,3,2,4,3,35.0,Moderate
3,3,2,4,2,3,3,2,3,30.4,Moderate
1,2,1,1,1,1,1,1,1,12.3,Low
5,4,5,4,4,4,3,5,4,47.0,High
3,3,4,3,2,3,2,4,4,34.9,Moderate
1,1,2,2,2,1,2,1,1,15.2,Low
4,3,2,3,4,3,3,3,2,33.0,Moderate
4,4,5,4,4,5,4,3,5,46.3,High
4,3,5,5,3,5,4,3,3,41.9,High
3,4,3,3,3,4,4,3,3,36.4,Moderate
3,5,3,4,3,4,4,5,3,41.5,High
2,1,1,1,1,1,1,1,1,12.5,Low
2,2,3,2,2,2,2,2,2,23.1,Mild
1,1,1,1,1,1,1,1,1,11.0,Low
1,2,1,1,1,1,2,1,1,13.3,Low
2,2,1,2,1,2,2,2,4,22.8,Mild
1,2,1,1,1,1,1,1,1,12.3,Low
4,3,3,3,1,3,4,3,2,31.8,Moderate
1,2,3,4,3,4,3,2,3,29.4,Moderate
1,2,2,2,1,1,1,2,1,15.8,Low
1,1,1,1,1,1,1,1,1,11.0,Low
1,2,1,1,1,2,1,1,1,13.4,Low
3,3,3,3,3,3,4,4,3,35.4,Moderate
1,2,1,1,1,2,2,1,1,14.4,Low
3,2,4,2,4,3,3,2,4,33.0,Moderate
4,4,5,3,5,4,4,4,4,45.2,High
1,1,1,1,2,1,2,1,1,13.1,Low
1,1,2,1,2,1,2,1,1,14.2,Low
2,2,3,1,1,3,2,2,1,20.6,Mild
3,5,5,4,4,3,4,5,4,45.2,High
4,3,3,4,4,4,3,4,5,42.1,High
3,3,4,2,4,4,3,4,2,35.2,Moderate
1,1,1,1,1,2,1,1,1,12.1,Low
1,3,2,3,1,2,2,2,3,23.2,Mild
3,4,3,3,3,2,2,3,3,32.2,Moderate
3,3,3,2,3,3,2,3,3,31.0,Moderate
3,3,3,3,3,3,2,3,2,30.5,Moderate
2,3,2,2,3,1,1,2,3,23.8,Mild
1,1,2,1,1,1,1,1,1,12.1,Low
1,2,2,2,2,1,2,2,1,17.9,Low
5,4,4,4,4,3,4,4,4,44.4,High
2,3,2,2,3,1,2,2,2,23.3,Mild
3,3,2,2,2,2,1,2,2,23.8,Mild
2,2,1,1,2,1,2,1,2,17.4,Low
4,3,3,3,3,4,3,4,3,37.0,Moderate
1,1,2,1,1,1,1,1,1,12.1,Low
4,2,4,3,3,3,4,4,3,36.7,Moderate
1,1,1,1,1,1,1,1,1,11.0,Low
1,1,1,1,1,1,1,1,1,11.0,Low
2,2,2,2,2,1,3,2,2,21.9,Mild
1,2,1,2,1,1,2,1,1,14.3,Low
1,1,1,2,1,1,1,1,1,12.0,Low
2,1,2,2,2,2,1,1,3,19.8,Mild
1,1,1,1,1,1,2,1,1,12.0,Low
2,1,2,3,2,3,2,1,3,22.9,Mild
1,2,2,1,2,3,1,1,1,16.7,Low
3,2,3,2,3,2,2,1,2,24.3,Mild
1,2,1,2,1,2,2,2,2,18.3,Low
3,1,3,1,2,1,1,3,3,23.1,Mild
1,1,2,2,1,1,1,1,2,14.6,Low
2,1,2,2,3,3,1,2,2,21.9,Mild
1,2,3,2,1,2,1,2,2,19.5,Mild
4,4,3,3,4,2,4,4,4,39.7,High
1,1,2,2,3,2,1,3,2,20.7,Mild
1,1,1,1,1,3,1,1,2,14.7,Low
1,2,2,2,2,3,1,3,2,22.0,Mild
1,1,3,3,1,2,1,2,3,20.7,Mild
3,3,3,4,3,2,3,5,2,34.2,Moderate
3,3,5,3,2,3,4,5,3,37.9,High
2,3,3,2,4,4,2,4,3,33.1,Moderate
2,4,2,1,1,3,2,2,2,23.6,Mild
3,1,3,2,3,2,2,2,2,24.4,Mild
2,2,2,2,1,2,1,1,1,17.0,Low
4,3,3,4,5,4,4,4,4,42.7,High
3,1,1,2,1,1,1,1,1,15.0,Low
1,3,2,1,2,2,1,1,1,16.9,Low
2,3,1,2,2,1,2,2,3,22.6,Mild
1,3,1,1,1,1,1,1,1,13.6,Low
2,2,3,2,2,3,2,1,1,21.3,Mild
2,2,1,1,1,1,1,1,1,13.8,Low
3,2,3,2,3,2,1,3,2,26.1,Mild
2,2,1,1,2,2,2,2,3,21.4,Mild
1,1,1,1,1,1,1,1,1,11.0,Low
1,3,2,2,1,3,3,2,3,24.3,Mild
5,4,4,5,3,4,4,4,4,45.4,High
1,3,3,2,1,2,2,1,2,20.4,Mild
1,1,1,2,1,1,1,2,1,13.4,Low
5,4,4,5,3,4,4,4,3,43.9,High
2,3,2,3,3,2,2,2,2,25.4,Mild
1,2,1,1,1,1,2,1,1,13.3,Low
1,3,4,2,2,3,5,2,2,28.1,Moderate
3,3,3,3,4,4,2,4,3,35.6,Moderate
3,5,3,3,4,2,2,3,3,34.6,Moderate
2,2,2,2,1,2,2,1,3,21.0,Mild
2,2,3,2,3,2,3,2,2,25.2,Mild
2,1,1,1,1,2,2,2,1,16.0,Low
1,1,1,1,2,2,1,2,2,16.1,Low
3,2,4,3,3,2,3,5,3,34.5,Moderate
2,2,1,1,1,1,2,1,1,14.8,Low
5,3,4,5,5,3,4,3,4,43.8,High
3,3,2,1,1,2,2,2,3,24.2,Mild
4,4,4,4,4,4,4,3,4,42.6,High
2,1,1,1,1,1,1,1,1,12.5,Low
3,2,4,2,1,2,2,3,1,24.5,Mild
4,3,3,3,4,4,3,3,3,36.7,Moderate
4,2,3,3,4,3,2,5,3,36.1,Moderate
2,2,2,2,2,3,1,3,2,23.5,Mild
1,2,1,2,2,1,1,1,1,14.4,Low
2,3,3,3,3,3,2,2,1,26.1,Mild
5,5,5,4,4,5,5,3,3,47.1,High
3,3,2,4,2,3,3,4,4,34.7,Moderate
3,5,4,4,4,4,3,3,4,41.4,High
1,1,1,1,1,1,1,1,2,12.5,Low
2,2,1,1,1,1,2,1,1,14.8,Low
2,1,2,2,1,2,2,3,1,19.5,Mild
1,1,1,1,1,1,1,1,1,11.0,Low
1,2,2,2,1,2,2,2,2,19.4,Mild
4,4,4,4,4,4,4,4,4,44.0,High
1,1,3,1,2,1,2,1,3,18.3,Low
3,2,3,2,3,2,2,3,3,28.6,Moderate
1,1,1,1,2,1,2,1,1,13.1,Low
4,5,4,4,4,5,3,3,4,44.0,High
2,3,2,2,1,1,3,3,1,22.0,Mild
4,3,2,3,3,4,2,3,3,33.5,Moderate
2,1,2,2,1,2,2,2,2,19.6,Mild
1,2,3,1,2,1,1,1,3,18.6,Mild
4,5,4,3,5,3,4,5,4,45.7,High
2,1,2,2,3,2,2,1,1,18.9,Mild
4,3,3,3,4,3,3,4,3,37.0,Moderate
3,4,3,4,2,3,3,2,3,32.8,Moderate
2,3,1,1,2,3,1,3,1,21.2,Mild
1,2,1,1,1,1,2,2,1,14.7,Low
3,5,4,4,5,4,3,5,5,46.8,High
2,2,2,2,1,2,1,4,2,22.7,Mild
1,1,1,2,1,1,1,1,1,12.0,Low
1,1,1,1,1,2,2,1,1,13.1,Low
2,2,1,2,3,3,2,4,1,24.4,Mild
2,2,2,3,1,1,2,1,2,19.4,Mild
4,5,5,3,4,4,4,4,4,45.4,High
3,2,3,3,3,2,3,1,3,27.8,Moderate
1,1,2,1,1,1,2,1,1,13.1,Low
1,3,1,1,2,1,1,1,1,14.7,Low
3,4,2,4,2,5,4,3,2,34.8,Moderate
3,4,3,4,5,3,4,5,4,42.8,High
1,2,3,1,2,2,2,3,2,22.0,Mild
2,4,3,3,3,2,3,2,3,30.3,Moderate
4,5,3,4,4,5,4,3,4,43.9,High
2,2,2,2,1,3,1,3,2,22.4,Mild
4,3,4,4,4,4,4,4,4,42.7,High
1,2,1,1,1,1,1,1,1,12.3,Low
3,2,3,2,1,1,2,3,1,22.3,Mild
4,3,2,3,2,3,3,4,3,33.7,Moderate
2,2,2,1,1,1,1,1,1,14.9,Low
2,3,2,2,3,2,2,1,1,21.5,Mild
2,2,1,3,2,2,2,3,1,21.8,Mild
2,2,3,2,2,3,2,1,2,22.8,Mild
1,1,1,1,1,2,1,2,1,13.5,Low
1,2,2,2,2,3,1,1,2,19.2,Mild
4,5,5,4,4,4,3,4,3,43.9,High
1,1,1,1,1,1,1,1,1,11.0,Low
4,4,5,4,4,4,4,3,5,45.2,High
5,4,3,2,5,4,5,3,4,43.1,High
2,3,3,2,2,1,1,1,2,20.9,Mild
4,2,4,3,4,3,2,3,4,35.9,Moderate
2,2,3,2,3,2,2,2,1,22.7,Mild
2,4,3,3,3,3,2,2,4,31.9,Moderate
2,2,3,2,2,3,2,1,3,24.3,Mild
1,2,2,1,1,1,1,2,1,14.8,Low
1,2,1,1,1,1,2,3,1,16.1,Low
1,1,1,1,2,1,1,1,1,12.1,Low
1,1,2,1,1,1,2,1,1,13.1,Low
3,3,3,4,2,2,4,3,4,34.3,Moderate
3,3,3,3,2,3,2,1,3,28.1,Moderate
3,5,5,4,4,4,3,3,4,42.5,High
1,1,1,2,2,2,2,2,2,18.1,Low
3,3,4,3,5,3,3,2,3,34.9,Moderate
2,1,2,1,2,2,2,3,1,19.6,Mild
3,3,3,3,3,3,3,2,2,30.1,Moderate
5,4,4,4,3,5,3,5,4,45.9,High
1,2,2,1,2,1,1,1,2,16.0,Low
2,1,1,2,1,1,2,1,1,14.5,Low
3,2,1,3,1,3,3,1,1,21.5,Mild
1,1,2,1,1,2,1,1,2,14.7,Low
1,2,1,1,1,1,1,1,1,12.3,Low
1,2,1,1,1,1,1,1,1,12.3,Low
1,2,1,2,1,1,1,1,1,13.3,Low
1,2,2,1,1,1,1,1,1,13.4,Low
2,3,3,3,4,4,3,4,3,35.1,Moderate
1,1,2,1,1,1,1,1,1,12.1,Low
1,1,1,1,1,2,1,1,1,12.1,Low
1,1,2,1,1,1,1,1,1,12.1,Low
1,1,2,2,2,2,2,2,2,19.2,Mild
2,3,3,3,4,3,2,3,4,33.1,Moderate
1,3,3,1,3,2,2,2,3,24.5,Mild
4,4,2,4,3,3,3,3,4,37.2,Moderate
1,1,2,2,2,2,2,2,2,19.2,Mild
2,4,4,2,3,3,3,2,4,33.0,Moderate
1,2,1,2,1,2,1,1,1,14.4,Low
1,2,1,1,1,1,1,1,1,12.3,Low
1,1,1,1,2,1,2,2,2,16.0,Low
2,1,1,1,1,1,2,1,2,15.0,Low
2,2,3,3,3,1,2,2,2,24.1,Mild
1,2,1,1,1,2,1,1,1,13.4,Low
3,2,2,2,3,1,3,2,3,26.0,Mild
1,1,1,2,1,1,1,2,1,13.4,Low
2,1,1,3,2,2,3,2,3,23.1,Mild
2,1,2,2,2,2,3,2,1,20.2,Mild
2,2,1,3,2,2,2,3,2,23.3,Mild
3,1,2,4,2,3,2,4,4,31.1,Moderate
3,4,3,3,3,4,3,2,3,34.0,Moderate
1,1,1,1,1,1,1,1,1,11.0,Low
2,1,1,2,2,2,2,3,2,21.0,Mild
2,2,2,2,2,3,2,1,3,23.2,Mild
2,2,1,2,1,1,1,1,1,14.8,Low
1,2,1,2,1,1,1,1,1,13.3,Low
4,3,4,3,5,4,4,4,4,42.8,High
2,2,3,3,2,1,2,2,2,23.0,Mild
1,1,2,1,2,1,1,2,1,14.6,Low
1,2,1,1,1,1,1,1,2,13.8,Low
4,4,4,2,5,4,5,3,2,39.7,High
3,4,3,2,2,3,3,4,3,33.6,Moderate
1,1,1,1,1,1,1,1,1,11.0,Low
2,2,1,1,3,2,2,1,2,19.6,Mild
3,4,2,3,2,3,3,4,2,32.0,Moderate
2,1,3,2,1,2,3,3,2,23.1,Mild
1,1,1,1,1,1,1,2,1,12.4,Low
2,1,2,2,2,3,1,2,2,20.8,Mild
1,1,3,1,1,2,3,2,2,19.2,Mild
1,1,1,1,1,1,1,1,1,11.0,Low
3,5,4,2,3,3,2,2,3,33.3,Moderate
1,1,1,1,1,1,2,1,1,12.0,Low
1,1,1,1,2,1,1,1,1,12.1,Low
2,2,2,1,3,2,2,2,1,20.6,Mild
1,1,2,1,1,1,1,1,2,13.6,Low
2,3,2,1,2,3,3,2,2,24.4,Mild
2,3,4,3,3,3,3,2,3,31.2,Moderate
2,2,4,3,3,2,2,2,2,26.3,Mild
4,4,5,5,3,4,4,4,4,45.0,High
1,3,3,2,2,2,3,2,1,22.4,Mild
2,2,3,2,2,2,1,2,2,22.1,Mild
3,4,3,3,4,3,3,1,3,32.6,Moderate
3,1,1,3,2,2,1,1,3,21.2,Mild
1,1,2,2,1,1,3,1,1,15.1,Low
1,1,1,1,1,1,3,2,1,14.4,Low
1,1,1,1,2,2,1,2,1,14.6,Low
4,5,5,4,4,4,4,2,5,45.1,High
4,4,3,4,2,3,3,5,4,40.0,High
2,2,4,3,3,4,5,5,3,37.2,Moderate
1,3,1,2,3,2,2,1,2,20.4,Mild
2,4,3,3,3,2,2,4,3,32.1,Moderate
2,1,1,1,1,1,1,1,1,12.5,Low
2,1,2,2,1,2,2,2,3,21.1,Mild
4,4,2,3,3,3,3,3,3,34.7,Moderate
2,1,1,1,3,2,2,3,1,19.6,Mild
5,4,4,4,5,5,4,5,4,49.1,High
2,1,1,1,3,1,1,1,1,14.7,Low
2,3,1,1,2,1,2,2,2,20.1,Mild
1,1,1,1,2,1,1,1,1,12.1,Low
3,3,3,3,3,4,3,4,3,35.5,Moderate
3,5,3,4,4,3,4,4,5,43.1,High
1,1,3,1,1,2,1,1,1,14.3,Low
2,2,3,1,1,2,2,2,2,21.0,Mild
3,3,5,4,4,4,3,2,4,38.5,High
3,3,2,1,3,2,2,2,2,24.9,Mild
1,3,2,3,3,2,2,2,2,23.9,Mild
2,1,1,1,1,2,1,1,1,13.6,Low
3,2,2,2,2,3,2,3,2,26.0,Mild
1,1,3,2,3,2,1,3,2,21.8,Mild
2,2,3,2,2,2,2,3,2,24.5,Mild
2,1,1,2,1,1,3,3,2,19.8,Mild
4,5,4,4,4,3,4,5,4,45.6,High
2,2,3,1,2,1,2,1,1,18.1,Low
